,unique_id,ds,y_hat
8,2020-01-26,2020-02-04,927.0
9,2020-01-26,2020-02-05,927.0
10,2020-01-26,2020-02-06,927.0
11,2020-01-26,2020-02-07,927.0
12,2020-01-26,2020-02-08,927.0
13,2020-01-26,2020-02-09,927.0
0,2020-01-27,2020-01-28,1519.0
1,2020-01-27,2020-01-29,1519.0
2,2020-01-27,2020-01-30,1519.0
3,2020-01-27,2020-01-31,1519.0
4,2020-01-27,2020-02-01,1519.0
5,2020-01-27,2020-02-02,1519.0
6,2020-01-27,2020-02-03,1519.0
7,2020-01-27,2020-02-04,1519.0
8,2020-01-27,2020-02-05,1519.0
9,2020-01-27,2020-02-06,1519.0
10,2020-01-27,2020-02-07,1519.0
11,2020-01-27,2020-02-08,1519.0
12,2020-01-27,2020-02-09,1519.0
13,2020-01-27,2020-02-10,1519.0
0,2020-01-28,2020-01-29,423.65456118090685
1,2020-01-28,2020-01-30,369.448187146457
2,2020-01-28,2020-01-31,343.8201784937121
3,2020-01-28,2020-02-01,397.17042306767297
4,2020-01-28,2020-02-02,365.88700402422324
5,2020-01-28,2020-02-03,372.5081778759334
6,2020-01-28,2020-02-04,401.0
7,2020-01-28,2020-02-05,423.65456118090685
8,2020-01-28,2020-02-06,369.448187146457
9,2020-01-28,2020-02-07,343.8201784937121
10,2020-01-28,2020-02-08,397.17042306767297
11,2020-01-28,2020-02-09,365.88700402422324
12,2020-01-28,2020-02-10,372.5081778759334
13,2020-01-28,2020-02-11,401.0
0,2020-01-29,2020-01-30,951.0
1,2020-01-29,2020-01-31,951.0
2,2020-01-29,2020-02-01,951.0
3,2020-01-29,2020-02-02,951.0
4,2020-01-29,2020-02-03,951.0
5,2020-01-29,2020-02-04,951.0
6,2020-01-29,2020-02-05,951.0
7,2020-01-29,2020-02-06,951.0
8,2020-01-29,2020-02-07,951.0
9,2020-01-29,2020-02-08,951.0
10,2020-01-29,2020-02-09,951.0
11,2020-01-29,2020-02-10,951.0
12,2020-01-29,2020-02-11,951.0
13,2020-01-29,2020-02-12,951.0
0,2020-01-30,2020-01-31,1886.0
1,2020-01-30,2020-02-01,1886.0
2,2020-01-30,2020-02-02,1886.0
3,2020-01-30,2020-02-03,1886.0
4,2020-01-30,2020-02-04,1886.0
5,2020-01-30,2020-02-05,1886.0
6,2020-01-30,2020-02-06,1886.0
7,2020-01-30,2020-02-07,1886.0
8,2020-01-30,2020-02-08,1886.0
9,2020-01-30,2020-02-09,1886.0
10,2020-01-30,2020-02-10,1886.0
11,2020-01-30,2020-02-11,1886.0
12,2020-01-30,2020-02-12,1886.0
13,2020-01-30,2020-02-13,1886.0
0,2020-01-31,2020-02-01,1238.0
1,2020-01-31,2020-02-02,1238.0
2,2020-01-31,2020-02-03,1238.0
3,2020-01-31,2020-02-04,1238.0
4,2020-01-31,2020-02-05,1238.0
5,2020-01-31,2020-02-06,1238.0
6,2020-01-31,2020-02-07,1238.0
7,2020-01-31,2020-02-08,1238.0
8,2020-01-31,2020-02-09,1238.0
9,2020-01-31,2020-02-10,1238.0
10,2020-01-31,2020-02-11,1238.0
11,2020-01-31,2020-02-12,1238.0
12,2020-01-31,2020-02-13,1238.0
13,2020-01-31,2020-02-14,1238.0
0,2020-02-01,2020-02-02,1149.0
1,2020-02-01,2020-02-03,1149.0
2,2020-02-01,2020-02-04,1149.0
3,2020-02-01,2020-02-05,1149.0
4,2020-02-01,2020-02-06,1149.0
5,2020-02-01,2020-02-07,1149.0
6,2020-02-01,2020-02-08,1149.0
7,2020-02-01,2020-02-09,1149.0
8,2020-02-01,2020-02-10,1149.0
9,2020-02-01,2020-02-11,1149.0
10,2020-02-01,2020-02-12,1149.0
11,2020-02-01,2020-02-13,1149.0
12,2020-02-01,2020-02-14,1149.0
13,2020-02-01,2020-02-15,1149.0
0,2020-02-02,2020-02-03,1054.0
1,2020-02-02,2020-02-04,1054.0
2,2020-02-02,2020-02-05,1054.0
3,2020-02-02,2020-02-06,1054.0
4,2020-02-02,2020-02-07,1054.0
5,2020-02-02,2020-02-08,1054.0
6,2020-02-02,2020-02-09,1054.0
7,2020-02-02,2020-02-10,1054.0
8,2020-02-02,2020-02-11,1054.0
9,2020-02-02,2020-02-12,1054.0
10,2020-02-02,2020-02-13,1054.0
11,2020-02-02,2020-02-14,1054.0
12,2020-02-02,2020-02-15,1054.0
13,2020-02-02,2020-02-16,1054.0
0,2020-02-03,2020-02-04,2557.0
1,2020-02-03,2020-02-05,2557.0
2,2020-02-03,2020-02-06,2557.0
3,2020-02-03,2020-02-07,2557.0
4,2020-02-03,2020-02-08,2557.0
5,2020-02-03,2020-02-09,2557.0
6,2020-02-03,2020-02-10,2557.0
7,2020-02-03,2020-02-11,2557.0
8,2020-02-03,2020-02-12,2557.0
9,2020-02-03,2020-02-13,2557.0
10,2020-02-03,2020-02-14,2557.0
11,2020-02-03,2020-02-15,2557.0
12,2020-02-03,2020-02-16,2557.0
13,2020-02-03,2020-02-17,2557.0
0,2020-02-04,2020-02-05,0.0
1,2020-02-04,2020-02-06,0.0
2,2020-02-04,2020-02-07,0.0
3,2020-02-04,2020-02-08,0.0
4,2020-02-04,2020-02-09,0.0
5,2020-02-04,2020-02-10,0.0
6,2020-02-04,2020-02-11,0.0
7,2020-02-04,2020-02-12,0.0
8,2020-02-04,2020-02-13,0.0
9,2020-02-04,2020-02-14,0.0
10,2020-02-04,2020-02-15,0.0
11,2020-02-04,2020-02-16,0.0
12,2020-02-04,2020-02-17,0.0
13,2020-02-04,2020-02-18,0.0
0,2020-02-05,2020-02-06,643.0
1,2020-02-05,2020-02-07,643.0
2,2020-02-05,2020-02-08,643.0
3,2020-02-05,2020-02-09,643.0
4,2020-02-05,2020-02-10,643.0
5,2020-02-05,2020-02-11,643.0
6,2020-02-05,2020-02-12,643.0
7,2020-02-05,2020-02-13,643.0
8,2020-02-05,2020-02-14,643.0
9,2020-02-05,2020-02-15,643.0
10,2020-02-05,2020-02-16,643.0
11,2020-02-05,2020-02-17,643.0
12,2020-02-05,2020-02-18,643.0
13,2020-02-05,2020-02-19,643.0
0,2020-02-06,2020-02-07,1151.0
1,2020-02-06,2020-02-08,1151.0
2,2020-02-06,2020-02-09,1151.0
3,2020-02-06,2020-02-10,1151.0
4,2020-02-06,2020-02-11,1151.0
5,2020-02-06,2020-02-12,1151.0
6,2020-02-06,2020-02-13,1151.0
7,2020-02-06,2020-02-14,1151.0
8,2020-02-06,2020-02-15,1151.0
9,2020-02-06,2020-02-16,1151.0
10,2020-02-06,2020-02-17,1151.0
11,2020-02-06,2020-02-18,1151.0
12,2020-02-06,2020-02-19,1151.0
13,2020-02-06,2020-02-20,1151.0
0,2020-02-07,2020-02-08,1474.0
1,2020-02-07,2020-02-09,1474.0
2,2020-02-07,2020-02-10,1474.0
3,2020-02-07,2020-02-11,1474.0
4,2020-02-07,2020-02-12,1474.0
5,2020-02-07,2020-02-13,1474.0
6,2020-02-07,2020-02-14,1474.0
7,2020-02-07,2020-02-15,1474.0
8,2020-02-07,2020-02-16,1474.0
9,2020-02-07,2020-02-17,1474.0
10,2020-02-07,2020-02-18,1474.0
11,2020-02-07,2020-02-19,1474.0
12,2020-02-07,2020-02-20,1474.0
13,2020-02-07,2020-02-21,1474.0
0,2020-02-08,2020-02-09,1899.0
1,2020-02-08,2020-02-10,1899.0
2,2020-02-08,2020-02-11,1899.0
3,2020-02-08,2020-02-12,1899.0
4,2020-02-08,2020-02-13,1899.0
5,2020-02-08,2020-02-14,1899.0
6,2020-02-08,2020-02-15,1899.0
7,2020-02-08,2020-02-16,1899.0
8,2020-02-08,2020-02-17,1899.0
9,2020-02-08,2020-02-18,1899.0
10,2020-02-08,2020-02-19,1899.0
11,2020-02-08,2020-02-20,1899.0
12,2020-02-08,2020-02-21,1899.0
13,2020-02-08,2020-02-22,1899.0
0,2020-02-09,2020-02-10,1814.0
1,2020-02-09,2020-02-11,1814.0
2,2020-02-09,2020-02-12,1814.0
3,2020-02-09,2020-02-13,1814.0
4,2020-02-09,2020-02-14,1814.0
5,2020-02-09,2020-02-15,1814.0
6,2020-02-09,2020-02-16,1814.0
7,2020-02-09,2020-02-17,1814.0
8,2020-02-09,2020-02-18,1814.0
9,2020-02-09,2020-02-19,1814.0
10,2020-02-09,2020-02-20,1814.0
11,2020-02-09,2020-02-21,1814.0
12,2020-02-09,2020-02-22,1814.0
13,2020-02-09,2020-02-23,1814.0
0,2020-02-10,2020-02-11,2542.0
1,2020-02-10,2020-02-12,2542.0
2,2020-02-10,2020-02-13,2542.0
3,2020-02-10,2020-02-14,2542.0
4,2020-02-10,2020-02-15,2542.0
5,2020-02-10,2020-02-16,2542.0
6,2020-02-10,2020-02-17,2542.0
7,2020-02-10,2020-02-18,2542.0
8,2020-02-10,2020-02-19,2542.0
9,2020-02-10,2020-02-20,2542.0
10,2020-02-10,2020-02-21,2542.0
11,2020-02-10,2020-02-22,2542.0
12,2020-02-10,2020-02-23,2542.0
13,2020-02-10,2020-02-24,2542.0
0,2020-02-11,2020-02-12,1451.208632576861
1,2020-02-11,2020-02-13,1408.3753030401026
2,2020-02-11,2020-02-14,1337.7902243235353
3,2020-02-11,2020-02-15,1429.9105808623501
4,2020-02-11,2020-02-16,1430.4250461704676
5,2020-02-11,2020-02-17,1418.5061771628025
6,2020-02-11,2020-02-18,1390.0
7,2020-02-11,2020-02-19,1451.208632576861
8,2020-02-11,2020-02-20,1408.3753030401026
9,2020-02-11,2020-02-21,1337.7902243235353
10,2020-02-11,2020-02-22,1429.9105808623501
11,2020-02-11,2020-02-23,1430.4250461704676
12,2020-02-11,2020-02-24,1418.5061771628025
13,2020-02-11,2020-02-25,1390.0
0,2020-02-12,2020-02-13,2391.0
1,2020-02-12,2020-02-14,2391.0
2,2020-02-12,2020-02-15,2391.0
3,2020-02-12,2020-02-16,2391.0
4,2020-02-12,2020-02-17,2391.0
5,2020-02-12,2020-02-18,2391.0
6,2020-02-12,2020-02-19,2391.0
7,2020-02-12,2020-02-20,2391.0
8,2020-02-12,2020-02-21,2391.0
9,2020-02-12,2020-02-22,2391.0
10,2020-02-12,2020-02-23,2391.0
11,2020-02-12,2020-02-24,2391.0
12,2020-02-12,2020-02-25,2391.0
13,2020-02-12,2020-02-26,2391.0
0,2020-02-13,2020-02-14,2237.0
1,2020-02-13,2020-02-15,2237.0
2,2020-02-13,2020-02-16,2237.0
3,2020-02-13,2020-02-17,2237.0
4,2020-02-13,2020-02-18,2237.0
5,2020-02-13,2020-02-19,2237.0
6,2020-02-13,2020-02-20,2237.0
7,2020-02-13,2020-02-21,2237.0
8,2020-02-13,2020-02-22,2237.0
9,2020-02-13,2020-02-23,2237.0
10,2020-02-13,2020-02-24,2237.0
11,2020-02-13,2020-02-25,2237.0
12,2020-02-13,2020-02-26,2237.0
13,2020-02-13,2020-02-27,2237.0
0,2020-02-14,2020-02-15,2195.0
1,2020-02-14,2020-02-16,2195.0
2,2020-02-14,2020-02-17,2195.0
3,2020-02-14,2020-02-18,2195.0
4,2020-02-14,2020-02-19,2195.0
5,2020-02-14,2020-02-20,2195.0
6,2020-02-14,2020-02-21,2195.0
7,2020-02-14,2020-02-22,2195.0
8,2020-02-14,2020-02-23,2195.0
9,2020-02-14,2020-02-24,2195.0
10,2020-02-14,2020-02-25,2195.0
11,2020-02-14,2020-02-26,2195.0
12,2020-02-14,2020-02-27,2195.0
13,2020-02-14,2020-02-28,2195.0
0,2020-02-15,2020-02-16,2233.0
1,2020-02-15,2020-02-17,2233.0
2,2020-02-15,2020-02-18,2233.0
3,2020-02-15,2020-02-19,2233.0
4,2020-02-15,2020-02-20,2233.0
5,2020-02-15,2020-02-21,2233.0
6,2020-02-15,2020-02-22,2233.0
7,2020-02-15,2020-02-23,2233.0
8,2020-02-15,2020-02-24,2233.0
9,2020-02-15,2020-02-25,2233.0
10,2020-02-15,2020-02-26,2233.0
11,2020-02-15,2020-02-27,2233.0
12,2020-02-15,2020-02-28,2233.0
13,2020-02-15,2020-02-29,2233.0
0,2020-02-16,2020-02-17,1863.0
1,2020-02-16,2020-02-18,1863.0
2,2020-02-16,2020-02-19,1863.0
3,2020-02-16,2020-02-20,1863.0
4,2020-02-16,2020-02-21,1863.0
5,2020-02-16,2020-02-22,1863.0
6,2020-02-16,2020-02-23,1863.0
7,2020-02-16,2020-02-24,1863.0
8,2020-02-16,2020-02-25,1863.0
9,2020-02-16,2020-02-26,1863.0
10,2020-02-16,2020-02-27,1863.0
11,2020-02-16,2020-02-28,1863.0
12,2020-02-16,2020-02-29,1863.0
13,2020-02-16,2020-03-01,1863.0
0,2020-02-17,2020-02-18,1836.0
1,2020-02-17,2020-02-19,1836.0
2,2020-02-17,2020-02-20,1836.0
