,Value
1766,1218.0
1767,1215.0
1768,1216.0
1769,1219.0
1770,1219.0
1771,1217.0
1772,1217.0
1773,1215.0
1774,1213.0
1775,1215.0
1776,1214.0
1777,1215.0
1778,1216.0
1779,1218.0
1780,1217.0
1781,1217.0
1782,1218.0
1783,1218.0
1784,1211.0
1785,1215.0
1786,1218.0
1787,1216.0
1788,1218.0
1789,1216.0
1790,1215.0
1791,1208.0
1792,1204.0
1793,1203.0
1794,1205.0
1795,1205.0
1796,1203.0
1797,1202.0
1798,1204.0
1799,1203.0
1800,1215.0
1801,1283.0
1802,1321.0
1803,1248.0
1804,1248.0
1805,1160.0
1806,1162.0
1807,1164.0
1808,1168.0
1809,1180.0
1810,1290.0
1811,1269.0
1812,1211.0
1813,1208.0
1814,1211.0
1815,1214.0
1816,1213.0
1817,1212.0
1818,1213.0
1819,1212.0
1820,1189.0
1821,1098.0
1822,1106.0
1823,1193.0
1824,1272.0
1825,1264.0
1826,1224.0
1827,1156.0
1828,1160.0
1829,1164.0
1830,1233.0
1831,1239.0
1832,1236.0
1833,1226.0
1834,1206.0
1835,1120.0
1836,1139.0
1837,1210.0
1838,1209.0
1839,1186.0
1840,1097.0
1841,1099.0
1842,1099.0
1843,1037.0
1844,1014.0
1845,1017.0
1846,1017.0
1847,1076.0
1848,1088.0
1849,1037.0
1850,992.0
1851,1025.0
1852,1075.0
1853,1143.0
1854,1163.0
1855,1160.0
1856,1166.0
1857,1168.0
1858,1168.0
1859,1169.0
1860,1173.0
1861,1252.0
1862,1260.0
1863,1175.0
1864,1139.0
1865,999.0
1866,954.0
1867,1054.0
1868,1110.0
1869,1119.0
1870,1115.0
1871,1106.0
1872,1023.0
1873,1019.0
1874,1008.0
1875,936.0
